2025-09-18T10:09:18.912+09:00  INFO 10824 --- [ch04] [restartedMain] kr.co.ch04.Ch04Application               : Starting Ch04Application using Java 21.0.8 with PID 10824 (C:\Users\GGG\Desktop\workspace\Spring\ch04\build\classes\java\main started by GGG in C:\Users\GGG\Desktop\workspace\Spring\ch04)
2025-09-18T10:09:18.912+09:00 DEBUG 10824 --- [ch04] [restartedMain] kr.co.ch04.Ch04Application               : Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-18T10:09:18.912+09:00  INFO 10824 --- [ch04] [restartedMain] kr.co.ch04.Ch04Application               : No active profile set, falling back to 1 default profile: "default"
2025-09-18T10:09:18.912+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.boot.SpringApplication               : Loading source class kr.co.ch04.Ch04Application
2025-09-18T10:09:18.915+09:00 DEBUG 10824 --- [ch04] [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4a5b5acb
2025-09-18T10:09:18.915+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-09-18T10:09:18.915+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-09-18T10:09:18.919+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\GGG\Desktop\workspace\Spring\ch04\build\classes\java\main\kr\co\ch04\controller\User1Controller.class]
2025-09-18T10:09:18.919+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\GGG\Desktop\workspace\Spring\ch04\build\classes\java\main\kr\co\ch04\service\User1Service.class]
2025-09-18T10:09:19.043+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-09-18T10:09:19.043+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'kr.co.ch04'. Automatic @Repository and @Entity scanning is enabled.
2025-09-18T10:09:19.043+09:00 DEBUG 10824 --- [ch04] [restartedMain] o.m.s.b.a.MybatisAutoConfiguration       : Searching for mappers annotated with @Mapper
